Var1,Var2
0.6,0
1.8,0
3.05,0
4.3,0
5.5,0
6.7,0
7.9,0
9.15,0
10.4,0
11.6,0
12.8,0
14,0
15.25,0
16.5,0
17.7,13.75
18.9,13.75
20.15,13.75
21.4,13.702246
22.6,12.957958
23.8,12.713844125
25,13.0073493125
26.25,12.8401464375
27.5,12.3385698346425
28.7,11.7757275625
29.9,11.5861145
31.1,11.2021179880295
32.35,10.6790638125
33.6,10.3754365
34.8,10.2297954324489
36,9.97981755745439
37.2,9.50694631597316
38.45,9.06706277896861
39.7,8.46646130411533
40.9,7.9231905
42.1,7.57599244300567
43.3,7.54602776647223
44.55,7.54357069839268
45.8,7.7139575979682
47,7.80767768750001
48.2,7.95861422930712
49.4,8.15435877935878
50.65,8.40140228785057
51.9,8.84883468604336
53.1,9.13342462499999
54.3,9.48831950292012
55.5,9.81662446668777
56.75,10.122839625
58,10.4433628691371
59.2,10.7387463637464
60.4,11.1046662558328
61.65,11.4530748086565
62.9,11.8065366108659
64.1,12.2029461757365
65.3,12.4966464400152
66.5,12.818273909137
67.75,13.0995108622554
69,13.3415298353825
70.2,13.5653641682948
71.4,13.7149648662412
72.6,13.8971474485737
73.85,14.0206767551692
75.1,14.1107627357627
76.3,14.1842164177705
77.5,14.2129385625
78.7,14.220870047935
79.95,14.1991066758933
81.2,14.1540820094385
82.4,14.0900188074859
83.6,14.0120913689543
84.8,13.8816508816509
86.05,13.7470955014522
87.3,13.5696814723407
88.5,13.342896078552
89.7,13.1123455063272
90.9,12.74069125
92.15,12.4067700942701
93.4,12.0038478721141
94.6,11.500634625
95.8,11.170516065387
97.05,11.1291995666996
