Var1,Vg
0.00614439324116743,0
0.0184331797235023,0
0.0317460317460317,0
0.0440348182283666,0
0.0563236047107015,0
0.0686123911930363,0
0.0809011776753712,0
0.0942140296979007,0
0.106502816180236,0
0.11879160266257,0
0.131080389144905,1.211
0.14336917562724,1.211
0.15668202764977,1.212
0.168970814132104,1.216
0.181259600614439,1.223
0.193548387096774,1.229
0.205837173579109,1.235
0.219150025601638,1.241
0.231438812083973,1.247
0.243727598566308,1.251
0.256016385048643,1.254
0.268305171530978,1.257
0.281618023553507,1.258
0.293906810035842,1.26
0.306195596518177,1.261
0.318484383000512,1.261
0.330773169482847,1.263
0.344086021505376,1.264
0.356374807987711,1.267
0.368663594470046,1.27
0.380952380952381,1.274
0.393241167434716,1.279
0.406554019457245,1.285
0.41884280593958,1.294
0.431131592421915,1.302
0.44342037890425,1.313
0.456733230926779,1.325
0.469022017409114,1.338
0.481310803891449,1.352
0.493599590373784,1.368
0.505888376856119,1.384
0.519201228878648,1.401
0.531490015360983,1.418
0.543778801843318,1.435
0.556067588325653,1.453
0.568356374807988,1.47
0.581669226830517,1.487
0.593958013312852,1.502
0.606246799795187,1.517
0.618535586277522,1.53
0.630824372759857,1.541
0.644137224782386,1.552
0.656426011264721,1.56
0.668714797747056,1.566
0.681003584229391,1.571
0.693292370711726,1.574
0.706605222734255,1.574
0.71889400921659,1.571
0.731182795698925,1.568
0.74347158218126,1.563
0.755760368663594,1.556
0.769073220686124,1.546
0.781362007168459,1.536
0.793650793650794,1.525
0.805939580133128,1.513
0.819252432155658,1.5
0.831541218637993,1.487
0.843830005120328,1.473
0.856118791602662,1.459
0.868407578084997,1.446
0.881720430107527,1.432
0.894009216589862,1.42
0.906298003072197,1.406
0.918586789554531,1.392
0.930875576036866,1.379
0.944188428059396,1.361
0.956477214541731,1.346
0.968766001024065,1.326
0.9810547875064,1.308
0.993343573988735,1.294
