(
(1.4515E-03	1.8855E-01)
(4.5260E-03	1.0833E-01)
(8.1978E-03	2.1323E-01)
(1.1785E-02	4.3427E-02)
(1.5115E-02	2.3854E-01)
(1.9727E-02	1.6395E-01)
(2.3142E-02	2.6790E-01)
(2.6900E-02	7.2639E-03)
(3.0743E-02	2.0425E-01)
(3.4073E-02	3.9936E-01)
(3.7318E-02	2.2830E-01)
(3.9795E-02	1.4590E-01)
(4.2271E-02	3.3789E-01)
(4.5516E-02	3.4976E-01)
(4.9700E-02	3.6507E-01)
(5.2006E-02	3.7350E-01)
(5.5336E-02	4.7715E-01)
(5.8068E-02	9.4446E-01)
(6.1395E-02	2.1457E+00)
(6.3780E-02	4.2580E+00)
(6.6250E-02	6.3707E+00)
(6.8379E-02	8.5736E+00)
(7.0166E-02	1.0867E+01)
(7.1866E-02	1.3617E+01)
(7.3733E-02	1.7648E+01)
(7.5089E-02	2.1403E+01)
(7.6275E-02	2.4700E+01)
(7.7375E-02	2.8363E+01)
(7.8643E-02	3.2666E+01)
(7.9912E-02	3.7061E+01)
(8.1181E-02	4.1090E+01)
(8.2450E-02	4.5393E+01)
(8.3636E-02	4.8782E+01)
(8.5250E-02	5.1715E+01)
(8.6784E-02	5.2909E+01)
(8.8497E-02	5.1269E+01)
(9.0042E-02	4.8257E+01)
(9.1076E-02	4.5151E+01)
(9.1768E-02	4.2043E+01)
(9.2718E-02	3.8388E+01)
(9.3243E-02	3.3909E+01)
(9.3766E-02	3.0252E+01)
(9.4291E-02	2.5498E+01)
(9.5158E-02	2.1019E+01)
(9.5767E-02	1.7180E+01)
(9.6632E-02	1.3342E+01)
)
