(
(1.4580E-03	1.2826E-01)
(6.8611E-03	8.6738E-02)
(1.2693E-02	4.6794E-02)
(2.1527E-02	1.4080E-01)
(2.7959E-02	2.2596E-01)
(3.4305E-02	2.4936E-01)
(4.0480E-02	2.1068E-01)
(4.6827E-02	2.3408E-01)
(5.4374E-02	4.4623E-01)
(6.1235E-02	5.3297E-01)
(6.6810E-02	1.3523E+00)
(7.0497E-02	3.2092E+00)
(7.2813E-02	6.2285E+00)
(7.6072E-02	1.0111E+01)
(7.7787E-02	1.4357E+01)
(7.9417E-02	1.6760E+01)
(8.1475E-02	2.1068E+01)
(8.2676E-02	2.3899E+01)
(8.3877E-02	2.7099E+01)
(8.5249E-02	3.0483E+01)
(8.6964E-02	3.2271E+01)
(8.8765E-02	3.3568E+01)
(9.0309E-02	3.3205E+01)
(9.1852E-02	3.1859E+01)
(9.2710E-02	2.9282E+01)
(9.3139E-02	2.7194E+01)
(9.3568E-02	2.4554E+01)
(9.4254E-02	2.1054E+01)
(9.5111E-02	1.7801E+01)
(9.5626E-02	1.5038E+01)
(9.5883E-02	1.2458E+01)
(9.6913E-02	1.0250E+01)
)
