Var1,Var2
0.6,0
1.8,0
3.05,0
4.3,0
5.5,0
6.7,0
7.9,0
9.15,0
10.4,0
11.6,0
12.8,0
14,0
15.25,0
16.5,0
17.7,3.66666675
18.9,3.84271725
20.15,4.13374275
21.4,5.2012756128189
22.6,4.9896931900767
23.8,5.20096317524079
25,5.21330475917381
26.25,5.53482567879358
27.5,6.27072861981785
28.7,7.17794223198556
29.9,8.1033536875
31.1,8.9050836875
32.35,9.27441473779263
33.6,9.01386444443222
34.8,9.00782524413107
36,8.98722205930552
37.2,8.800475375
38.45,8.5186196875
39.7,8.5950211962659
40.9,8.38144706572353
42.1,8.2444419375
43.3,8.39925981342524
44.55,8.46376899999999
45.8,8.52897051448526
47,8.55323205845993
48.2,8.79055831249999
49.4,9.12451115637221
50.65,9.4669885625
51.9,10.091062875
53.1,10.4141391426739
54.3,10.7534749991312
55.5,11.1263805013805
56.75,11.4898085548564
58,11.9785398857301
59.2,12.314603858849
60.4,12.8634009375
61.65,13.3453287351644
62.9,13.7057071875
64.1,14.1502592001296
65.3,14.5001553125776
66.5,14.9197844976616
67.75,15.2862626340657
69,15.6689412922353
70.2,16.0722613305653
71.4,16.3300419975315
72.6,16.6351070861697
73.85,16.8251114938336
75.1,16.9785395321907
76.3,17.1193460951635
77.5,17.1594497047248
78.7,17.1779579279579
79.95,17.1641734589566
81.2,17.1209579375
82.4,17.0484856996214
83.6,16.9672966956758
84.8,16.8386357096589
86.05,16.7268425509213
87.3,16.6055957763989
88.5,16.4902786777787
89.7,16.3991968618977
90.9,16.2573432536716
92.15,16.166066020533
93.4,16.0767425290718
94.6,15.9845831875
95.8,15.9484898234898
97.05,15.9489247130377
