Var1,Var2
0.6,0
1.8,0
3.05,0
4.3,0
5.5,0
6.7,0
7.9,0
9.15,6.208366375
10.4,6.1792428125
11.6,6.225486875
12.8,6.05152461211885
14,5.5881778125
15.25,5.78266174183456
16.5,5.52606105598474
17.7,5.197045125
18.9,4.59921414980354
20.15,4.477660875
21.4,4.42438376890406
22.6,4.51029813014906
23.8,4.58301318774011
25,4.88037353259338
26.25,5.01539337884834
27.5,5.133355125
28.7,5.18311795860255
29.9,5.28042250760563
31.1,5.404657375
32.35,5.38561778390445
33.6,5.34938064984516
34.8,5.30670511082372
36,5.28298957074739
37.2,5.27167075
38.45,5.3283554375
39.7,5.441984875
40.9,5.56889907972477
42.1,5.70371392592848
43.3,5.8607349928675
44.55,6.02173994293498
45.8,6.19825691380732
47,6.34331683582921
48.2,6.49809962262453
49.4,6.65032941299412
50.65,6.78308755422811
51.9,6.935920875
53.1,7.08049421401157
54.3,7.25054975041231
55.5,7.419483997887
56.75,7.56543322021661
58,7.7292744375
59.2,7.85752181250001
60.4,8.00183043521196
61.65,8.13205277948681
62.9,8.24553568080352
64.1,8.37732828066793
65.3,8.4726680625
66.5,8.57661166330583
67.75,8.6707782957783
69,8.75751856062036
70.2,8.85920954670955
71.4,8.92586860646715
72.6,9.00922856942142
73.85,9.07042167957832
75.1,9.11327283495464
76.3,9.14508725
77.5,9.1623346875
78.7,9.16524216310541
79.95,9.16150958075479
81.2,9.1532389858805
82.4,9.13265304464283
83.6,9.08519424860431
84.8,9.01019869004968
86.05,8.91639858340036
87.3,8.79475644868911
88.5,8.65112288806144
89.7,8.50863218534196
90.9,8.29592042092042
92.15,8.0962627740657
93.4,7.83513691621578
94.6,7.53319985010012
95.8,7.36018774259387
97.05,7.33938748637815
