Var1,Var2
0.6,0
1.8,0
3.05,0
4.3,1.75
5.5,1.75
6.7,2.1826665
7.9,2.668371
9.15,3.00181806295452
10.4,3.51214369053592
11.6,3.90565603891401
12.8,3.85114877528719
14,4.21988249247062
15.25,4.4067595
16.5,4.5225800625
17.7,4.55249945062486
18.9,4.60501366124659
20.15,4.69849357537661
21.4,4.81413932853483
22.6,4.8925955893511
23.8,4.91677910419478
25,4.92664400748301
26.25,4.93605935901484
27.5,4.99508125
28.7,5.011132002783
29.9,4.99888712444356
31.1,4.99928975017756
32.35,4.9869828125
33.6,4.990654625
34.8,5.03274175
36,5.10899367149367
37.2,5.2070695625
38.45,5.26720611639695
39.7,5.33842868367849
40.9,5.40641506250001
42.1,5.51497999251
43.3,5.66582776978472
44.55,5.8209203927301
45.8,6.02010451507838
47,6.185269125
48.2,6.36739279075901
49.4,6.54724878887561
50.65,6.70796097898048
51.9,6.9264764191191
53.1,7.11678391652011
54.3,7.32922529269367
55.5,7.5393511875
56.75,7.71492020503989
58,7.90022569983073
59.2,8.05031735023801
60.4,8.22840422840423
61.65,8.39447392085544
62.9,8.54095564654436
64.1,8.70042916271459
65.3,8.82506393129795
66.5,8.96582392895597
67.75,9.082537875
69,9.18755776566832
70.2,9.30784191838144
71.4,9.39011303502825
72.6,9.48742913442815
73.85,9.56388063958952
75.1,9.63053074723462
76.3,9.69117883088412
77.5,9.72664125
78.7,9.7574711912356
79.95,9.75936061563938
81.2,9.74975174968968
82.4,9.72811486405743
83.6,9.68049034024517
84.8,9.60552398335702
86.05,9.517208875
87.3,9.39373085626915
88.5,9.23033245225066
89.7,9.0703561620548
90.9,8.83061725
92.15,8.61301558047663
93.4,8.32520679979319
94.6,7.99411780808835
95.8,7.80638657659664
97.05,7.78639019659755
