Var1,Var2
0.6,4.2083335
1.8,4.2083335
3.05,4.375811125
4.3,4.71582463354384
5.5,4.9446744375
6.7,5.78532070516035
7.9,5.97662955081478
9.15,5.7075068018767
10.4,5.39900263824802
11.6,5.297733375
12.8,5.23308145864818
14,5.17675351831162
15.25,5.2714091928523
16.5,5.31041689010422
17.7,5.24226131056533
18.9,5.14972609993152
20.15,5.115113875
21.4,5.00748263061197
22.6,4.99704369119538
23.8,5.07272205227795
25,5.18207717051929
26.25,5.3460002019999
27.5,5.59747088876456
28.7,5.76309225981919
29.9,5.9173609369793
31.1,6.06678851669713
32.35,6.16402195899451
33.6,6.34317010170747
34.8,6.44332461083115
36,6.54555571583321
37.2,6.70482607379348
38.45,6.85208790052198
39.7,7.0592374078813
40.9,7.24811293844353
42.1,7.42425208143697
43.3,7.61436441954447
44.55,7.78390358262052
45.8,7.95551877224062
47,8.12313815578453
48.2,8.3022489375
49.4,8.48339624584907
50.65,8.64675669837835
51.9,8.84496885125779
53.1,8.99755675061081
54.3,9.15428910107228
55.5,9.29343905164024
56.75,9.4148020625
58,9.58482850112137
59.2,9.71645355411339
60.4,9.86103570129463
61.65,10.0004218747891
62.9,10.1429165892709
64.1,10.3084122353969
65.3,10.431899875
66.5,10.5477966341949
67.75,10.6589191816894
69,10.7547604339297
70.2,10.8550861675862
71.4,10.9243007993008
72.6,11.0143829195213
73.85,11.0823334588333
75.1,11.1266381241809
76.3,11.1692180019135
77.5,11.1903005653006
78.7,11.1757960625
79.95,11.1408583670708
81.2,11.0996292368512
82.4,11.0373105093276
83.6,10.9611098847225
84.8,10.836356875
86.05,10.6956605
87.3,10.5188499139376
88.5,10.3124123436185
89.7,10.1153500433124
90.9,9.83922077672078
92.15,9.57634513884514
93.4,9.21387722290791
94.6,8.75708388385486
95.8,8.45320985160492
97.05,8.40450136024932
