Var1,Var2
0.6,0
1.8,0
3.05,0
4.3,0
5.5,0
6.7,0
7.9,0
9.15,0
10.4,0
11.6,0
12.8,0
14,0
15.25,0
16.5,0
17.7,0
18.9,0
20.15,0
21.4,1.75
22.6,1.81561
23.8,2.527383
25,3.383261
26.25,3.432125125
27.5,3.893410125
28.7,4.15084577478856
29.9,4.5220520625
31.1,4.81000295250074
32.35,5.10073822481544
33.6,5.136712625
34.8,5.1535304133826
36,5.52943944485986
37.2,6.06937832984458
38.45,6.41788270894135
39.7,7.00089412522353
40.9,7.25671861828138
42.1,7.72310273655137
43.3,8.09160308540078
44.55,8.26099075549538
45.8,8.60845557904442
47,8.81523451630863
48.2,9.13713589714808
49.4,9.42829992877506
50.65,9.54829502414752
51.9,9.57576553788277
53.1,9.58918427229607
54.3,9.64214072303518
55.5,9.7006822993177
56.75,9.81711106711107
58,9.94793804948452
59.2,10.1399714099929
60.4,10.344257125
61.65,10.5013857520786
62.9,10.6041571406179
64.1,10.7073511768378
65.3,10.7617225058612
66.5,10.8310152094924
67.75,10.8918705810971
69,10.902889923555
70.2,10.9231849375
71.4,10.9459947854974
72.6,10.9675834131876
73.85,10.9808113702029
75.1,10.9964070651947
76.3,10.9920989375
77.5,10.983209125
78.7,10.9434766108691
79.95,10.9120408090306
81.2,10.8623860842896
82.4,10.7871647407088
83.6,10.706878021561
84.8,10.577776081944
86.05,10.447810036405
87.3,10.3012391121902
88.5,10.1179631285184
89.7,9.9193834153083
90.9,9.65020513760257
92.15,9.36867271400453
93.4,8.9522516875
94.6,8.33961558019221
95.8,7.90519989870003
97.05,7.8385767721442
