Var1,Var2
0.6,0
1.8,0
3.05,0
4.3,0
5.5,0
6.7,2.5925925625
7.9,2.592822
9.15,2.639745875
10.4,2.635276125
11.6,2.6795132051217
12.8,2.74232662308166
14,2.7452985625
15.25,2.9904558125
16.5,3.7957570625
17.7,4.506484
18.9,5.4721105
20.15,5.6314595
21.4,5.646719125
22.6,5.50090925
23.8,5.4140163125
25,4.7805688125
26.25,3.96044725
27.5,5.19243142310786
28.7,5.55095075
29.9,6.42963328518336
31.1,7.27651970075985
32.35,7.135581625
33.6,8.96674392918598
34.8,8.95915792728948
36,9.16890097972525
37.2,9.67942396471198
38.45,9.681747
39.7,10.1900896549552
40.9,10.4786133856933
42.1,10.68844875
43.3,10.9413898017373
44.55,10.9594696976326
45.8,10.6808262327066
47,10.4707697426924
48.2,10.0566210283105
49.4,9.80535063883766
50.65,9.72083849270962
51.9,9.9078403914202
53.1,10.06799
54.3,10.3248285
55.5,10.4564278153583
56.75,10.5558927919196
58,10.6850842824579
59.2,10.8300052900026
60.4,10.8616785345804
61.65,10.9119722720069
62.9,10.9373034373034
64.1,10.921247625
65.3,10.9118698309349
66.5,10.850887925444
67.75,10.785012053747
69,10.75975025
70.2,10.7153885086529
71.4,10.6554552415914
72.6,10.5703753671246
73.85,10.505520375
75.1,10.4742061378969
76.3,10.460009875
77.5,10.4349475487893
78.7,10.4042537593097
79.95,10.3661621584595
81.2,10.2999824874825
82.4,10.2318643568644
83.6,10.1618106434053
84.8,10.0677017109474
86.05,9.99244138066896
87.3,9.89679701089851
88.5,9.74043488934767
89.7,9.5920239375
90.9,9.27408674397831
92.15,8.9999794375
93.4,8.48924286424287
94.6,7.6315198059802
95.8,7.16009741995129
97.05,7.09504257747871
