Var1,Var2
0.6,0
1.8,0
3.05,0
4.3,0
5.5,0
6.7,0
7.9,0
9.15,0
10.4,0
11.6,0
12.8,0
14,0
15.25,0
16.5,0
17.7,0
18.9,0
20.15,0
21.4,3.75
22.6,3.75
23.8,3.75
25,3.75
26.25,3.75
27.5,3.75
28.7,3.75
29.9,3.74620175
31.1,3.735409625
32.35,3.726841125
33.6,3.62957325
34.8,3.56859265929633
36,3.4234099375
37.2,3.6173813125
38.45,3.7534171875
39.7,3.855662009669
40.9,4.1318205
42.1,4.34762238868881
43.3,4.46574874143719
44.55,4.508037
45.8,4.44955797477899
47,4.4751050625
48.2,4.5429214375
49.4,4.63082981832982
50.65,4.80651648587088
51.9,5.09384503903874
53.1,5.455162625
54.3,5.87318328079582
55.5,6.34707886103943
56.75,6.76964470714471
58,7.2045156136289
59.2,7.48062985078731
60.4,7.7736920625
61.65,7.98126982654763
62.9,8.15614664057332
64.1,8.341130375
65.3,8.48374148780612
66.5,8.66288373105814
67.75,8.79417602208802
69,8.89709312863358
70.2,8.9952838101419
71.4,9.03673201658498
72.6,9.08721995930499
73.85,9.1168106875
75.1,9.1492753125
76.3,9.16962091740523
77.5,9.16880821101027
78.7,9.14035688267844
79.95,9.111175375
81.2,9.066508625
82.4,9.00041731229134
83.6,8.92140028574964
84.8,8.79823293529117
86.05,8.67394563045922
87.3,8.5153463125
88.5,8.3279745
89.7,8.1507364375
90.9,7.88021243489378
92.15,7.6342609375
93.4,7.28851398074301
94.6,6.85184983796246
95.8,6.57882437838172
97.05,6.54261022869489
